ORIGIN_AIRPORT,DEST_AIRPORT,Adjusted_Air_Time
RSW,ATL,118
DCA,DTW,82
SAN,DTW,461
ATL,BOS,143
LAS,SLC,137
LAS,ATL,421
ATL,LAX,87
BHM,ATL,116
ATL,BHM,16
TPA,BOS,174
LGA,MSP,96
LAX,ATL,463
SEA,LAX,164
LAX,SEA,144
GSP,ATL,75
ATL,GSP,53
BNA,DTW,164
ATL,DCA,89
DCA,ATL,109
BOS,DTW,117
LAS,MSP,299
STL,ATL,154
LAS,ATL,430
MCO,ATL,92
MIA,ATL,118
MIA,ATL,119
LAX,ATL,440
MCO,MIA,56
MCO,MIA,55
SLC,SEA,106
ATL,MSP,74
DEN,CVG,270
LAS,MSP,313
MSP,LAS,61
SLC,DTW,335
RDU,BOS,116
JFK,ATL,153
ORD,DTW,137
SJU,JFK,259
MSP,IND,150
IND,DTW,69
LGA,MSP,117
MIA,LGA,177
MIA,LGA,178
SJU,ATL,228
ATL,SJU,213
JFK,SFO,210
DTW,ATL,125
SJU,JFK,213
ORD,LGA,189
SFO,LAX,82
DTW,RDU,131
LGA,ATL,181
LGA,ATL,142
RDU,DTW,83
CVG,ATL,86
BOI,SLC,62
SLC,BOI,80
DFW,SLC,92
SLC,DFW,218
LGA,ATL,156
SLC,DEN,86
RDU,DTW,90
MSP,ATL,201
DTW,CLT,118
DTW,AUS,117
DTW,ATL,130
DCA,ATL,124
LGA,ORD,83
SEA,LAX,151
DFW,SLC,107
LGA,ORD,104
ATL,ORD,59
PDX,MSP,308
FLL,LGA,201
MCO,JFK,187
PDX,JFK,501
SFO,JFK,556
AUS,JFK,299
SLC,JFK,412
TPA,JFK,177
SLC,JFK,414
MSP,JFK,243
ATL,JFK,145
JFK,ATL,194
JFK,LAX,169
JFK,PDX,174
JFK,SFO,180
JFK,SEA,157
JFK,SFO,224
JFK,PBI,174
JFK,AUS,184
JFK,BGR,75
JFK,LAX,175
LAX,JFK,519
JFK,SFO,182
JFK,SAN,157
JFK,SLC,173
JFK,MSP,108
SEA,DEN,213
JFK,LAX,158
JFK,ATL,150
ATL,SFO,109
RDU,ATL,80
JFK,ATL,150
JFK,MSP,105
